wavelength_nm,TIS_s0.1_N1,TIS_s0.1_N4,TIS_s0.1_N7,TIS_s0.2_N1,TIS_s0.2_N4,TIS_s0.2_N7,TIS_s0.3_N1,TIS_s0.3_N4,TIS_s0.3_N7,TIS_s0.4_N1,TIS_s0.4_N4,TIS_s0.4_N7
8.7,0.020423809,0.079226347,0.134499054,0.079226347,0.281194262,0.438861345,0.169491678,0.524253114,0.727474014,0.281194262,0.733040032,0.900852733
8.8,0.019966908,0.077507249,0.131669245,0.077507249,0.275811127,0.431486563,0.165998821,0.516199116,0.719348963,0.275811127,0.724952696,0.895536894
8.9,0.019525119,0.075842722,0.128925493,0.075842722,0.270570117,0.424266878,0.16260908,0.508285528,0.711266129,0.270570117,0.716903692,0.890128549
9,0.019097785,0.074230515,0.126264448,0.074230515,0.265466774,0.417199347,0.159318601,0.500511202,0.703229952,0.265466774,0.708897602,0.884633393
9.1,0.018684284,0.07266849,0.123682913,0.07266849,0.260496781,0.410281,0.156123702,0.492874843,0.695244522,0.260496781,0.70093866,0.879057071
9.2,0.018284027,0.071154613,0.121177839,0.071154613,0.255655963,0.403508858,0.153020861,0.485375029,0.687313597,0.255655963,0.693030764,0.873405163
9.3,0.017896457,0.069686955,0.11874632,0.069686955,0.250940283,0.396879939,0.150006707,0.478010226,0.679440618,0.250940283,0.685177495,0.867683167
9.4,0.017521045,0.068263678,0.116385578,0.068263678,0.246345834,0.390391264,0.147078016,0.470778799,0.671628725,0.246345834,0.677382133,0.861896486
9.5,0.017157288,0.066883033,0.114092964,0.066883033,0.241868844,0.384039868,0.144231702,0.463679033,0.663880772,0.241868844,0.669647667,0.856050417
9.6,0.016804711,0.065543357,0.111865947,0.065543357,0.237505664,0.377822805,0.141464812,0.456709138,0.656199345,0.237505664,0.661976815,0.850150135
9.7,0.016462862,0.064243065,0.109702108,0.064243065,0.233252768,0.37173715,0.138774516,0.449867264,0.648586772,0.233252768,0.65437204,0.844200694
9.8,0.01613131,0.062980647,0.107599138,0.062980647,0.22910675,0.365780012,0.136158107,0.443151509,0.641045145,0.22910675,0.646835557,0.83820701
9.9,0.015809647,0.061754664,0.105554826,0.061754664,0.22506432,0.359948528,0.133612989,0.43655993,0.633576324,0.22506432,0.639369353,0.832173861
10,0.015497486,0.060563742,0.103567061,0.060563742,0.221122298,0.354239875,0.131136677,0.430090548,0.626181961,0.221122298,0.631975201,0.82610588
10.1,0.015194456,0.059406575,0.101633822,0.059406575,0.217277614,0.348651269,0.128726786,0.423741361,0.618863505,0.217277614,0.624654667,0.820007551
10.2,0.014900206,0.05828191,0.099753177,0.05828191,0.213527301,0.343179967,0.126381034,0.417510346,0.611622217,0.213527301,0.617409126,0.813883207
10.3,0.0146144,0.057188558,0.097923273,0.057188558,0.209868495,0.337823273,0.124097228,0.411395467,0.604459185,0.209868495,0.610239777,0.807737028
10.4,0.01433672,0.056125376,0.096142341,0.056125376,0.206298428,0.332578534,0.121873269,0.40539468,0.597375329,0.206298428,0.603147646,0.801573039
10.5,0.014066861,0.055091279,0.094408682,0.055091279,0.202814429,0.327443148,0.11970714,0.399505939,0.590371416,0.202814429,0.596133605,0.795395111
10.6,0.013804532,0.054085224,0.092720671,0.054085224,0.199413915,0.322414559,0.117596908,0.3937272,0.583448073,0.199413915,0.589198377,0.789206962
10.7,0.013549457,0.053106218,0.09107675,0.053106218,0.196094392,0.317490263,0.115540716,0.388056423,0.576605788,0.196094392,0.58234255,0.783012155
10.8,0.013301371,0.052153309,0.089475425,0.052153309,0.192853454,0.312667804,0.11353678,0.38249158,0.569844929,0.192853454,0.575566581,0.776814102
10.9,0.013060023,0.051225586,0.087915265,0.051225586,0.189688772,0.307944779,0.11158339,0.377030653,0.563165746,0.189688772,0.568870811,0.770616066
11,0.012825169,0.050322179,0.086394895,0.050322179,0.1865981,0.303318835,0.109678901,0.371671642,0.556568382,0.1865981,0.562255467,0.76442116
11.1,0.012596581,0.049442251,0.084912999,0.049442251,0.183579266,0.298787669,0.107821734,0.366412562,0.55005288,0.183579266,0.555720676,0.758232355
11.2,0.012374038,0.048585005,0.08346831,0.048585005,0.180630173,0.29434903,0.106010369,0.361251451,0.543619194,0.180630173,0.549266467,0.752052478
11.3,0.012157328,0.047749674,0.082059615,0.047749674,0.177748793,0.290000718,0.104243347,0.356186367,0.537267188,0.177748793,0.542892783,0.745884219
11.4,0.011946251,0.046935524,0.080685747,0.046935524,0.174933169,0.285740584,0.102519266,0.351215391,0.530996653,0.174933169,0.536599484,0.739730129
11.5,0.011740612,0.046141851,0.079345586,0.046141851,0.172181407,0.281566526,0.100836774,0.346336632,0.524807303,0.172181407,0.530386356,0.733592629
11.6,0.011540228,0.04536798,0.078038056,0.04536798,0.169491678,0.277476495,0.099194574,0.341548223,0.518698788,0.169491678,0.524253114,0.727474014
11.7,0.011344921,0.044613263,0.076762122,0.044613263,0.166862214,0.273468488,0.097591416,0.336848324,0.512670698,0.166862214,0.51819941,0.721376449
11.8,0.01115452,0.043877078,0.075516791,0.043877078,0.164291306,0.269540552,0.096026098,0.332235126,0.506722565,0.164291306,0.512224839,0.715301983
11.9,0.010968865,0.043158828,0.074301105,0.043158828,0.161777301,0.265690781,0.094497461,0.327706845,0.500853872,0.161777301,0.506328939,0.709252545
12,0.010787798,0.04245794,0.073114146,0.04245794,0.159318601,0.261917315,0.093004392,0.323261731,0.495064055,0.159318601,0.500511202,0.703229952
12.1,0.010611169,0.041773862,0.071955027,0.041773862,0.156913662,0.258218341,0.091545817,0.318898061,0.489352507,0.156913662,0.494771074,0.697235911
12.2,0.010438836,0.041106067,0.070822897,0.041106067,0.154560989,0.254592091,0.090120701,0.314614143,0.483718585,0.154560989,0.489107962,0.691272024
12.3,0.01027066,0.040454044,0.069716937,0.040454044,0.152259136,0.25103684,0.088728047,0.310408316,0.478161609,0.152259136,0.483521233,0.685339792
12.4,0.010106509,0.039817305,0.068636357,0.039817305,0.150006707,0.247550907,0.087366896,0.306278951,0.47268087,0.150006707,0.478010226,0.679440618
12.5,0.009946255,0.039195379,0.067580396,0.039195379,0.147802348,0.244132655,0.08603632,0.302224446,0.467275632,0.147802348,0.472574244,0.673575811
12.6,0.009789777,0.038587813,0.066548322,0.038587813,0.14564475,0.240780486,0.084735428,0.298243234,0.461945132,0.14564475,0.467212569,0.667746588
12.7,0.009636956,0.037994171,0.06553943,0.037994171,0.143532646,0.237492844,0.083463357,0.294333777,0.456688587,0.143532646,0.461924455,0.661954083
12.8,0.009487681,0.037414035,0.064553038,0.037414035,0.141464812,0.234268215,0.082219278,0.290494568,0.451505195,0.141464812,0.456709138,0.656199345
12.9,0.009341842,0.036847001,0.063588492,0.036847001,0.13944006,0.231105119,0.081002387,0.286724129,0.446394136,0.13944006,0.451565834,0.650483342
13,0.009199335,0.036292678,0.062645158,0.036292678,0.137457241,0.228002118,0.079811913,0.283021016,0.441354576,0.137457241,0.446493742,0.644806969
13.1,0.009060058,0.035750694,0.061722426,0.035750694,0.135515243,0.224957809,0.078647107,0.27938381,0.436385671,0.135515243,0.44149205,0.639171046
13.2,0.008923917,0.035220686,0.060819708,0.035220686,0.133612989,0.221970827,0.077507249,0.275811127,0.431486563,0.133612989,0.43655993,0.633576324
13.3,0.008790816,0.034702307,0.059936437,0.034702307,0.131749437,0.21903984,0.076391643,0.272301607,0.426656388,0.131749437,0.431696546,0.628023489
13.4,0.008660668,0.03419522,0.059072063,0.03419522,0.129923574,0.216163553,0.075299615,0.268853922,0.421894275,0.129923574,0.426901056,0.622513161
13.5,0.008533384,0.033699103,0.058226057,0.033699103,0.128134422,0.213340702,0.074230515,0.265466774,0.417199347,0.128134422,0.422172608,0.617045903
13.6,0.008408881,0.033213642,0.057397909,0.033213642,0.126381034,0.210570058,0.073183717,0.262138889,0.412570723,0.126381034,0.417510346,0.611622217
13.7,0.00828708,0.032738538,0.056587125,0.032738538,0.124662489,0.207850422,0.072158612,0.258869024,0.408007522,0.124662489,0.412913411,0.606242553
13.8,0.008167903,0.032273498,0.055793228,0.032273498,0.122977896,0.205180628,0.071154613,0.255655963,0.403508858,0.122977896,0.40838094,0.600907308
13.9,0.008051274,0.031818242,0.055015757,0.031818242,0.121326392,0.202559537,0.070171155,0.252498516,0.399073849,0.121326392,0.40391207,0.595616829
14,0.007937123,0.0313725,0.054254266,0.0313725,0.11970714,0.199986044,0.069207686,0.249395519,0.394701611,0.11970714,0.399505939,0.590371416
